horse_id,horse_name
1,エンペラーワケア
2,タガノビューティー
3,ミトノオー
4,ウィリアムバローズ
5,アーテルアストレア
6,メイショウハリオ
7,サンデーファンデー
8,ドゥラエレーデ
9,コスタノヴァ
10,アンモシエラ
11,ペプチドナイル
12,サンライズジパング
13,デルマソトガケ
14,ミッキーファイト
15,ガイアフォース
16,ヘリオス
17,ボルドグフーシュ
18,ホウオウビスケッツ
19,ラヴェル
20,ソールオリエンス
21,ベラジオオペラ
22,ジャスティンパレス
23,ヨーホーレイク
24,カラテ
25,コスモキュランダ
26,シックスペンス
27,デシエルト
28,ステレンボッシュ
29,ロードデルレイ
30,エコロヴァルツ
31,アルナシーム
32,アルマヴェローチェ
33,レーヴドロペラ
34,パラディレーヌ
35,アイサンサン
36,リンクスティップ
37,ビップデイジー
38,レーゼドラマ
39,サタデーサンライズ
40,エンブロイダリー
41,タイセイプランセス
42,ウィルサヴァイブ
43,ブラウンラチェット
44,タガノアビー
45,サヴォンリンナ
46,カムニャック
47,ゴーソーファー
48,ケリフレッドアスク
49,エリカエクスプレス
50,リラエンブレム
51,ショウヘイ
52,エリキング
53,ドラゴンブースト
54,レディネス
55,ファンダム
56,ミュージアムマイル
57,エムズ
58,ジョバンニ
59,トッピボーン
60,ニシノエージェント
61,カラマティアノス
62,クロワデュノール
63,ホウオウアートマン
64,ファウストラーゼン
65,ファイアンクランツ
66,マスカレードボール
67,サトノシャイニング
68,ベラジオオペラ
69,ドゥレッツァ
70,ローシャムパーク
71,プラダリア
72,チャックネイト
73,ボルドグフーシュ
74,ジャスティンパレス
75,シュヴァリエローズ
76,ヨーホーレイク
77,リビアングラス
78,ソールオリエンス
79,メイショウタバル
80,アーバンシック
81,ジューンテイク
82,ロードデルレイ
83,ショウナンラプンタ
84,レガレイラ
