result_id,race_id,horse_id,waku_number,horse_number,ranking_id
1,1,1,1,1,5
2,1,2,1,2,8
3,1,3,2,3,15
4,1,4,2,4,13
5,1,5,3,5,9
6,1,6,3,6,6
7,1,7,4,7,10
8,1,8,4,8,11
9,1,9,5,9,1
10,1,10,5,10,16
11,1,11,6,11,4
12,1,12,6,12,2
13,1,13,7,13,14
14,1,14,7,14,3
15,1,15,8,15,7
16,1,16,8,16,12
17,2,17,1,1,8
18,2,18,2,2,5
19,2,19,2,3,11
20,2,20,3,4,10
21,2,21,3,5,1
22,2,22,4,6,6
23,2,23,4,7,3
24,2,24,5,8,12
25,2,25,5,9,8
26,2,26,6,10,7
27,2,27,6,11,14
28,2,28,7,12,13
29,2,29,7,13,2
30,2,30,8,14,4
31,2,31,8,15,15
32,3,32,1,1,2
33,3,33,1,2,14
34,3,34,2,3,4
35,3,35,2,4,12
36,3,36,3,5,5
37,3,37,3,6,13
38,3,38,4,7,16
39,3,39,4,8,15
40,3,40,5,9,9
41,3,41,5,10,11
42,3,42,6,11,6
43,3,43,6,12,7
44,3,44,7,13,3
45,3,45,7,14,17
46,3,46,7,15,1
47,3,47,8,16,18
48,3,48,8,17,8
49,3,49,8,18,10
50,4,50,1,1,10
51,4,51,1,2,3
52,4,52,2,3,5
53,4,53,2,4,15
54,4,54,3,5,17
55,4,55,3,6,14
56,4,56,4,7,6
57,4,57,4,8,7
58,4,58,5,9,8
59,4,59,5,10,13
60,4,60,6,11,16
61,4,61,6,12,12
62,4,62,7,13,1
63,4,63,7,14,11
64,4,64,7,15,18
65,4,65,8,16,9
66,4,66,8,17,2
67,4,67,8,18,4
68,5,68,1,1,10
69,5,69,1,2,2
70,5,70,2,3,5
71,5,71,2,4,15
72,5,72,3,5,17
73,5,73,3,6,14
74,5,74,4,7,6
75,5,75,4,8,7
76,5,76,5,9,8
77,5,77,5,10,13
78,5,78,6,11,16
79,5,79,6,12,12
80,5,80,7,13,1
81,5,81,7,14,11
82,5,82,7,15,18
83,5,83,8,16,9
84,5,84,8,17,4
